Zeitraum,Menge HT (kWh),Menge NT (kWh),Menge Total (kWh),Maximale Leistung (kW)
31.12.2022 00:15 - 00:30,0,0.07900000363588333,0.07900000363588333,0.3160000145435333
31.12.2022 00:30 - 00:45,0,0.09200000017881393,0.09200000017881393,0.36800000071525574
31.12.2022 00:45 - 01:00,0,0.08500000089406967,0.08500000089406967,0.3400000035762787
31.12.2022 01:00 - 01:15,0,0.08699999749660492,0.08699999749660492,0.3479999899864197
31.12.2022 01:15 - 01:30,0,0.13300000131130219,0.13300000131130219,0.5320000052452087
31.12.2022 01:30 - 01:45,0,0.4099999964237213,0.4099999964237213,1.6399999856948853
31.12.2022 01:45 - 02:00,0,0.15800000727176666,0.15800000727176666,0.6320000290870667
31.12.2022 02:00 - 02:15,0,0.03200000151991844,0.03200000151991844,0.12800000607967377
31.12.2022 02:15 - 02:30,0,0.04800000041723251,0.04800000041723251,0.19200000166893005
31.12.2022 02:30 - 02:45,0,0.04399999976158142,0.04399999976158142,0.17599999904632568
31.12.2022 02:45 - 03:00,0,0.04800000041723251,0.04800000041723251,0.19200000166893005
31.12.2022 03:00 - 03:15,0,0.32100000977516174,0.32100000977516174,1.284000039100647
